                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2607,                 3.5662,                 3.6164,                0.09612,                 0.1367,                0.04346,                0.01151,                 2.6723,                 3.3848,                 3.2313,             0.00066395,             0.00066395,             0.00066395
                      2,                 2.4472,                 2.5464,                 2.6554,                0.30876,                0.21011,                0.16425,                0.05611,                 2.4198,                 3.1239,                 2.6544,              0.0013174,              0.0013174,              0.0013174
                      3,                 2.2187,                 2.2357,                 2.3632,                0.28384,                0.39096,                0.28476,                0.09926,                 2.2553,                 2.2224,                 2.4047,              0.0019577,              0.0019577,              0.0019577
                      4,                 2.1273,                 2.0939,                 2.2387,                0.50088,                0.39734,                0.43117,                0.17499,                 2.0444,                 2.0892,                 2.1304,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.0569,                  1.989,                 2.1334,                0.49313,                0.47287,                0.46718,                0.18987,                 2.0006,                 1.8705,                 2.0476,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.9808,                 1.8867,                 2.0626,                0.46811,                0.51649,                0.46683,                 0.2047,                 1.8638,                 2.0805,                 1.9697,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.9474,                 1.7984,                 2.0076,                0.64581,                0.54734,                0.60443,                 0.2669,                 1.8675,                 1.6073,                 1.9718,               0.001901,               0.001901,               0.001901
                      8,                 1.9049,                 1.7483,                 1.9692,                0.64764,                0.57681,                0.63664,                0.29556,                 1.8875,                 1.5066,                 1.9554,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.8839,                 1.7027,                  1.946,                0.71987,                0.42181,                0.58048,                0.27374,                 1.8451,                 1.6024,                 1.9224,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.8565,                 1.6391,                 1.9214,                0.69173,                   0.55,                0.63822,                0.29985,                  1.797,                 1.5113,                 1.8829,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.8311,                 1.5832,                 1.8915,                0.70692,                0.61968,                0.69212,                0.32396,                 1.7852,                 1.3984,                 1.8551,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.8101,                  1.581,                 1.8786,                0.70913,                0.62926,                0.70025,                0.33438,                 1.7685,                 1.4433,                 1.8616,               0.001802,               0.001802,               0.001802
                     13,                 1.7906,                 1.5709,                 1.8659,                0.68669,                0.57872,                0.65289,                0.31242,                 1.8078,                 1.4632,                  1.864,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.7766,                 1.5006,                 1.8307,                0.71207,                0.56489,                0.66132,                 0.2895,                 1.9026,                 1.5412,                 1.9328,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.7772,                 1.4893,                 1.8357,                0.74604,                0.63936,                 0.7198,                0.35266,                 1.7544,                 1.2998,                 1.7994,              0.0017426,              0.0017426,              0.0017426
                     16,                  1.746,                 1.4479,                 1.8031,                0.74552,                0.62819,                0.72842,                0.36751,                  1.761,                 1.2679,                 1.7959,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.7554,                 1.4563,                 1.8084,                0.76718,                0.64152,                0.73264,                0.37899,                 1.6832,                  1.279,                  1.719,               0.001703,               0.001703,               0.001703
                     18,                 1.7379,                 1.4054,                 1.7873,                0.77899,                0.67305,                0.76879,                0.40153,                 1.7013,                 1.1781,                 1.7392,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.7235,                 1.3854,                 1.7932,                0.80188,                0.66957,                0.77302,                 0.3963,                  1.691,                   1.17,                 1.7191,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.7151,                 1.3671,                 1.7813,                0.75465,                0.68617,                0.76517,                0.40148,                 1.6255,                 1.2019,                 1.7066,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.6949,                  1.355,                 1.7571,                0.78107,                0.65585,                0.76017,                0.37428,                  1.716,                 1.3168,                  1.765,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.6772,                 1.3142,                 1.7415,                0.80292,                0.66489,                 0.7677,                0.39802,                 1.6755,                 1.2122,                 1.7296,               0.001604,               0.001604,               0.001604
                     23,                 1.6768,                 1.3247,                 1.7494,                0.77537,                0.71862,                0.79059,                0.40285,                 1.6209,                 1.1748,                 1.7011,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.6562,                 1.3014,                 1.7272,                 0.8175,                0.69894,                0.80082,                0.42037,                 1.6616,                 1.1401,                 1.6859,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.6576,                 1.2954,                 1.7314,                0.78764,                    0.7,                0.79198,                0.40909,                 1.6715,                 1.1285,                 1.7097,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.6602,                  1.285,                 1.7332,                0.81758,                0.68404,                  0.794,                0.42567,                 1.5896,                 1.0939,                 1.6506,              0.0015248,              0.0015248,              0.0015248
                     27,                  1.647,                 1.2666,                 1.7076,                0.80599,                0.68283,                0.79137,                0.42109,                 1.6195,                 1.0778,                 1.6923,               0.001505,               0.001505,               0.001505
                     28,                 1.6357,                 1.2398,                 1.7003,                0.82273,                 0.6937,                0.79427,                0.41845,                 1.6211,                 1.1199,                 1.6923,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.6365,                 1.2385,                 1.6976,                0.82547,                 0.7117,                0.81309,                 0.4327,                  1.588,                 1.0844,                 1.6576,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.6173,                 1.2203,                 1.6928,                0.81061,                0.72766,                0.81689,                0.43954,                 1.5866,                  1.026,                 1.6518,              0.0014456,              0.0014456,              0.0014456
                     31,                  1.608,                 1.1903,                 1.6789,                0.82276,                0.72181,                0.83075,                0.44669,                 1.5707,                 1.0437,                 1.6383,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.5994,                 1.1806,                  1.665,                0.84446,                0.70532,                0.81124,                0.44339,                  1.564,                 1.0366,                 1.6366,               0.001406,               0.001406,               0.001406
                     33,                 1.5972,                 1.1711,                 1.6697,                0.83599,                0.71849,                0.82914,                0.43287,                 1.5923,                  1.037,                 1.6553,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.5897,                 1.1691,                  1.657,                0.77617,                0.71753,                0.80606,                0.43312,                 1.5783,                 1.0758,                 1.6466,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.5734,                 1.1562,                 1.6533,                0.83651,                 0.7294,                0.83544,                0.45792,                 1.5569,                 1.0154,                 1.6151,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.5795,                 1.1518,                 1.6504,                0.82765,                0.74078,                 0.8396,                0.46234,                 1.5525,                0.98683,                 1.6064,              0.0013268,              0.0013268,              0.0013268
                     37,                  1.572,                 1.1453,                 1.6414,                 0.8549,                0.74255,                0.84794,                0.46412,                 1.5442,                0.95733,                 1.6028,               0.001307,               0.001307,               0.001307
                     38,                 1.5691,                 1.1251,                 1.6382,                0.85782,                0.72979,                0.85192,                0.46509,                 1.5385,                0.98171,                 1.6128,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.5622,                 1.1215,                  1.636,                0.84563,                0.72766,                0.83744,                0.46538,                 1.5146,                0.95222,                 1.5833,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.5582,                 1.1183,                 1.6278,                0.84312,                0.74043,                0.84049,                0.46608,                 1.5302,                 0.9596,                 1.5917,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.5563,                  1.111,                 1.6323,                 0.8649,                0.70491,                0.83277,                0.46091,                 1.5667,                 0.9612,                 1.6231,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.5389,                 1.0894,                 1.6191,                 0.8465,                0.73921,                0.84632,                0.46904,                 1.5409,                0.93871,                  1.593,               0.001208,               0.001208,               0.001208
                     43,                 1.5434,                  1.097,                 1.6158,                0.81586,                0.76124,                0.84447,                0.47614,                 1.5044,                 0.9473,                 1.5745,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.5146,                 1.0634,                 1.6015,                0.83814,                0.74367,                0.83899,                0.46487,                 1.5364,                0.96235,                   1.59,              0.0011684,              0.0011684,              0.0011684
